Total Yearly Drive Time (hrs):,678.08,,,,,,,
Total Yearly Commute Distance (miles):,42629.6,,,,,,,
Total Yearly Cost ($):,5364.32,,,,,,,
,,,,,,,,
Total Weekly Drive Time (hrs):,13.04,,,,,,,
Total Weekly Commute Distance (miles):,819.8,,,,,,,
Total Weekly Fuel Cost ($):,103.16,,,,,,,
,,,,,,,,
Gas Price ($ / Gal):,3.02,,,,,,,
Fuel Efficiency (mpg):,24,,,,,,,
,,,,,,,,
Base Location:,"Novi, MI",,,,,,,
,,,,,,,,
,,,,,,,,
Location List,Weekly Frequency,Total 1-way Commute Time (hrs),Total 1-way Commute Time (minutes),Weekly Round Trip Commute Time (hrs),Commute Distance (Miles),Weekly Round Trip Commute Distance (Miles),Weekly Round Trip Fuel Cost ($),Notes Tag (Optional)
"Lansing, MI",5,0.99,59.33,9.9,63.2,632.0,79.53,
"Ann Arbor, MI",1,0.51,30.53,1.02,29.3,58.6,7.37,
"Troy, MI",2,0.53,31.62,2.12,32.3,129.2,16.26,
